15625,PST,'RESERVOIR ELEVATION (feet)'
20100522,0000,2576.82
20100523,0000,2577.36
20100524,0000,2576.54
20100525,0000,2577.59
20100526,0000,2575.68
20100527,0000,2575.58
20100528,0000,2575.47
20100529,0000,2576.05
20100530,0000,2577.32
20100531,0000,2578.02
20100601,0000,2576.16
20100602,0000,2575.93
20100603,0000,2575.22
20100604,0000,2573.87
20100605,0000,2574.22
20100606,0000,2575.34
20100607,0000,2574.96
20100608,0000,2574.60
20100609,0000,2574.80
20100610,0000,2574.88
20100611,0000,2575.58
20100612,0000,2576.22
20100613,0000,2576.52
20100614,0000,2575.45
20100615,0000,2574.84
20100616,0000,2574.96
20100617,0000,2574.93
20100618,0000,2573.76
20100619,0000,2573.85
20100620,0000,2574.64
20100621,0000,2576.25
20100622,0000,2575.02
20100623,0000,2575.41
20100624,0000,2573.40
20100625,0000,2574.22
20100626,0000,2575.58
20100627,0000,2575.69
20100628,0000,2574.84
20100629,0000,2574.19
20100630,0000,2573.62
20100701,0000,2572.87
20100702,0000,2570.01
20100703,0000,2573.32
20100704,0000,2576.73
20100705,0000,2577.37
20100706,0000,2575.60
20100707,0000,2577.02
20100708,0000,2575.60
20100709,0000,2574.95
20100710,0000,2575.89
20100711,0000,2576.78
20100712,0000,2575.63
20100713,0000,2575.22
20100714,0000,2575.86
20100715,0000,2573.54
20100716,0000,2578.48
20100717,0000,2575.33
20100718,0000,2576.38
20100719,0000,2576.27
20100720,0000,2575.39
20100721,0000,2575.14
20100722,0000,2574.10
20100723,0000,2573.04
20100724,0000,2574.80
20100725,0000,2576.37
20100726,0000,2575.55
20100727,0000,2574.90
20100728,0000,2574.99
20100729,0000,2574.93
20100730,0000,2573.31
20100731,0000,2575.76
20100801,0000,2576.92
20100802,0000,2576.08
20100803,0000,2575.93
20100804,0000,2575.29
20100805,0000,2574.20
20100806,0000,2573.84
20100807,0000,2574.64
20100808,0000,2576.67
20100809,0000,2575.90
20100810,0000,2575.40
