30783,PST,'RESERVOIR ELEVATION (feet)'
20180621,0000,702.16
20180622,0000,701.88
20180623,0000,701.59
20180624,0000,701.30
20180625,0000,700.99
20180626,0000,700.70
20180627,0000,700.40
20180628,0000,700.13
20180629,0000,699.91
20180630,0000,699.61
20180701,0000,699.31
20180702,0000,699.00
20180703,0000,698.72
20180704,0000,698.45
20180705,0000,698.32
20180706,0000,698.29
20180707,0000,698.39
20180708,0000,698.56
20180709,0000,698.75
20180710,0000,698.92
20180711,0000,699.11
20180712,0000,699.28
20180713,0000,699.45
20180714,0000,699.62
20180715,0000,699.80
20180716,0000,699.98
20180717,0000,700.16
20180718,0000,700.32
20180719,0000,700.49
20180720,0000,700.48
20180721,0000,700.57
20180722,0000,700.74
20180723,0000,700.91
20180724,0000,701.08
20180725,0000,701.25
20180726,0000,701.41
20180727,0000,701.57
20180728,0000,701.73
