"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-05-21","68",",,U","85","H,,U","53","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-05-22","81",",,U","93","H,,U","60","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-05-23","69",",,U","90","H,,U","59","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-05-24","77",",,U","91","H,,U","61","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-05-25","72",",,U","88","H,,U","54","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-05-26","74",",,U","89","H,,U","60","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-05-27","77",",,U","92","H,,U","61","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-05-28","73",",,U","90","H,,U","57","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-05-29","75",",,U","91","H,,U","59","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-05-30","79",",,U","93","H,,U","61","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-05-31","81",",,U","96","H,,U","64","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-06-01","80",",,U","96","H,,U","67","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-06-02","82",",,U","97","H,,U","67","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-06-03","79",",,U","95","H,,U","67","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-06-04","83",",,U","98","H,,U","64","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-06-05","78",",,U","91","H,,U","61","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-06-06","69",",,U","79","H,,U","59","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-06-07","70",",,U","83","H,,U","55","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-06-08","74",",,U","87","H,,U","58","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-06-09","75",",,U","87","H,,U","60","H,,U"
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1992-06-10","69",",,U","84","H,,U","54","H,,U"
